,0,1,2,3,4,5,6,7,8,9,10,11,12
98,ETS1,SLC7A7,DGCR9,RPL28,TC2N,TRG-AS1,LINC01781,ARPC2,RPL37,LRRFIP1,PKN2,RPLP2,STMN1
99,RPS2,CD93,PHACTR2-AS1,RPS20,SLC9A3R1,RAC2,ZCCHC7,TMEM176B,FCGRT,ARPC5,HACD1,RPL7A,SELENOS
100,CAMK4,LTA4H,PRSS1,TTC39C,PLEKHF1,TSEN54,BTLA,RNF130,ANXA5,TMSB10,PXDC1,ZEB2,RPLP0
101,EPHX2,NAMPT,AC092910.3,RPS2,SEPT1,CTSC,RPSA,PLEKHO1,FOS,HLA-C,AL353135.1,LST1,SFT2D1
102,C12orf57,RBP7,AC006480.2,BIN1,CD96,IFITM1,EBLN3P,CCNL1,RPL39,SERP1,AP001269.4,TOMM7,PNISR
103,LAT,ARRB2,SLC29A2,RPL7A,A2M-AS1,DOK2,HLA-DPA1,EFHD2,RPL10,TCIRG1,PRKAB1,CYBA,CALR
104,SATB1,GCA,DUOX1,RPL38,GUK1,CLIC1,AIM2,HLA-DRB1,ATP5F1C,RHOC,MLF1,OAZ1,AC007952.4
105,RPL28,GAPDH,AL139424.3,EEF1B2,RASAL3,ITGB7,FCRL3,SH3BGRL,MT-ATP6,EIF1,HPGD,FGL2,SULF2
106,RPL7A,CAST,TGM4,GTF3A,FGFBP2,ABI3,RIC3,TBXAS1,RPLP2,EHBP1L1,ZNF443,RPS7,C12orf45
107,PRKCA,CD302,TTLL10,MZT2A,PRR5,HSH2D,CD180,AP1S2,RPL13,RRAS,ZNF667,RPL4,FCER1G
108,ABLIM1,FOS,AP001469.3,TMEM238,RASSF1,PRKCH,BCL7A,CFD,ARPC2,SH3BP2,BCAT1,PCBP2,BLNK
109,RPS7,PGD,EPPK1,TSTD1,S1PR5,XCL2,EBF1,NCF2,LSP1,COX5B,CTTN,UBA52,FAM53C
110,JUNB,CNPY3,FAM95C,NOSIP,CCDC107,RHOC,RRAS2,SERP1,MT-ND4,EMP3,REC8,PYCARD,CBFA2T3
111,RHOH,PECAM1,SNPH,TOMM7,FKBP11,STARD3NL,METTL8,POU2F2,YWHAB,WSB1,ADGRA3,IRF1,CLIC3
112,OCIAD2,LILRB3,ANO9,LYAR,CHST12,MCTP2,RPS23,MS4A6A,SLC25A5,CARD16,LINC01001,DDX17,RRBP1
113,TRAT1,IQGAP1,OBSCN,RASGRP1,SH2D1A,SPN,VEGFB,TIMP2,ATP5F1B,CAMK1,HOXA10,RPL6,VEGFB
114,TMEM204,LAMTOR4,MCF2L,AQP3,FYN,RASAL3,KIAA0040,PCBP2,RPS3,HIGD2A,AC104794.2,FOSB,HSPA5
115,CHRM3-AS2,OGFRL1,AC061992.1,ARHGAP15,PATL2,HDDC2,CXCR5,FLNA,RHOA,HCLS1,EFHC2,ECHDC1,UBE2J1
116,FCMR,LAMTOR1,KIAA2012,TRBC1,UBB,SUN2,PPM1K,ZEB2,CLIC1,PKN1,TCEAL9,TPT1,DNASE1L3
117,LDLRAP1,FCGR2A,AC012508.1,RPL39,CD160,SLAMF7,RPS20,PYCARD,SUMO2,UTRN,SLC45A3,AKAP13,RGS1
118,RPS9,LGALS3,AC138627.1,SEPT1,CXCR3,IGFBP7,GAPT,ASAH1,GNAS,LILRB2,AMY2B,AIF1,PROC
119,FLT3LG,IRAK3,GREM2,BCL11B,ARAP2,HRASLS2,CCDC50,DAZAP2,RPL35,CAPZB,TRIM58,MGAT1,MYL12A
120,EEF1D,C19orf38,ANKK1,NSG1,GRAP2,HLA-E,RASGRP3,CFP,FTH1,FGR,GNG11,RAC1,TCEA1
121,NACA,POU2F2,ZC3H12D,GSTK1,ODF2L,IL2RG,CHD7,GPX4,ACTR2,ACTR2,TTLL7,TNFSF10,UBB
122,TRBC1,PRAM1,ARL9,GPR183,RPS29,HLA-F,RAB30,LRRFIP1,FCER1G,CLIC1,CAVIN2,USP15,JTB
123,LINC01550,LRRFIP1,AC092376.2,MYL12A,CYTOR,NMUR1,CNR2,CTSD,PPIA,CLEC12A,CASC15,SSR1,QKI
124,NOG,VIM,RAB26,TUBA4A,SH2D2A,CISD3,TMEM243,PRELID1,ARPC5,MOB1A,CEP70,GRN,PRKCB
125,MYC,FOSB,ZBTB20-AS4,RPL37,SPOCK2,CD160,GGA2,C1orf162,ANXA2,WARS,ARMC2,RPL28,SERF2
126,TMIGD2,ADA2,COX6B2,PAG1,SEPT7,TKTL1,BACE2,BLVRB,CST3,NAAA,PLA2G12A,NFKBIZ,HINT1
127,ID3,DUSP1,LYG2,INTS6,MIAT,RORA,PRKCB,PCBP1,GDI2,HLA-DPA1,ZBTB11-AS1,ARPC2,SPINT2
128,RPL6,KCTD12,RILPL1,TCF7,CLEC2B,CMC1,PAWR,PTPRC,ATP5PB,LSP1,MBTD1,MSN,EIF4G2
129,AES,GLIPR2,AL358781.1,SUSD3,LBH,MMP23B,EZR,MYL6,MT-ND1,RGS19,HGD,RPL19,TRABD
130,RACK1,ZEB2,SNX32,RPL12,GYPC,SH2D2A,C16orf74,PPT1,CSTB,ATG3,TUBB1,RPS14,DBI
131,RGS10,SCPEP1,KLKB1,CCND2,BTN3A2,NCR1,SMC6,AP2S1,C1orf162,CSK,PDLIM1,MYL6,DDX5
132,HIST1H4C,SULT1A1,AL031708.1,CD28,RAC2,USP28,STAP1,HLA-DPB1,CORO1A,C19orf38,PLCG2,TAPBP,MYL6
133,EIF3E,LILRB2,AC009065.1,MAF,LAT,PPP1R18,ADK,CSTA,TMSB4X,MYO1G,HOXA10-AS,SFPQ,RPL6
134,CMTM8,ITGAM,PRSS22,TNFRSF18,ITM2A,FASLG,MICAL3,H2AFY,RNH1,WASF2,LOX,RPL11,CNPY3
135,SNRPN,IFNGR2,AC022154.1,MDFIC,AES,PRMT2,FADS3,RPL23,HIGD2A,PPP1CA,C3orf80,IL17RA,TSPAN3
136,TXK,GLIPR1,AP001046.1,RARRES3,STOM,TIGIT,FAM3C,ARPC1B,RNF130,HSBP1,AC105094.2,RPL29,TXN
137,RPL26,ATP6V0D1,IL13,ANKRD12,CD6,BIN2,NT5C,SLC25A6,CHCHD2,CYBB,SHANK3,ARPC4,FCHSD2
138,IL7R,FCER1G,FAM186B,RPL29,LINC02084,FKBP11,SMIM14,YBX1,RPL31,PGLS,AVP,CCNI,CTSC
139,IL6ST,EMILIN2,ELAVL3,BIRC3,GBP5,GFOD1,CLECL1,FYB1,TPT1,ARHGDIB,PTPRD,MEGF9,ARID1B
140,MARCKSL1,SLC11A1,MRPS30-DT,PTGER2,RPL23A,PAXX,SETBP1,ZFP36L2,VAMP8,ARRB2,PROM1,LIMD2,MDM4
141,FAM102A,SERPINB1,GAS2,PEBP1,RASGRP1,DENND2D,IGHA1,LYN,RPL35A,CORO1A,AL356275.1,GPSM3,ERCC1
142,RGCC,EVI2A,ELMO1-AS1,FAM107B,CRTAM,SYTL3,CPNE5,RPS24,UQCRH,ZNF706,WASF3,SRRM2,HLA-DMB
143,SNHG8,PLBD1,TAS2R20,RPL6,PITPNC1,RGS3,RPL23A,CCNI,SH3BGRL3,PFDN5,PLA2G4C,DUSP1,P2RY14
144,TESPA1,FLNA,SP6,TC2N,SLFN12L,EOMES,PARP1,CLEC12A,JAML,CHCHD10,EFHC1,FXYD5,GUK1
145,AC005842.1,METTL9,DENND2A,PPP2R5C,CDC25B,CLEC2B,PPP1R14A,IQGAP1,RPS19,GMFG,MAPKBP1,COTL1,DAD1
146,RGL4,NCOA4,POLH-AS1,SPTAN1,ZBTB38,PTPN7,MARCH1,LILRB2,ATP5F1E,BCL2A1,HPGDS,APLP2,RABGAP1L
147,STMN3,SAMHD1,AC009108.3,CD52,TTC16,ITGAL,HLA-DRB1,LRP1,TPI1,SH3BGRL,TREML1,EFHD2,RPS11
148,ADTRP,RAB32,PLEKHG6,CCR6,LINC00623,EBP,BEND5,SDCBP,PFDN5,COX7B,AL021453.1,RTN3,TMEM109
149,SVIP,PLXDC2,MYO5B,DPP4,GPR174,PIP4K2A,DRAM2,CPPED1,RPS5,GNG5,MSRB3,FCER1G,SIVA1
150,ATP6V0E2,CD300E,SMIM10L2A,ITM2A,MBP,CHST2,COL19A1,HNRNPA2B1,RPL36,MAFB,DOCK5,CAP1,TACC1
151,CD40LG,GAS7,WNK3,IFITM1,SLAMF6,PFN1,IGLC2,GRB2,ALDH2,LILRB1,HRASLS,PSMB9,PAXX
152,STK17A,RAB11FIP1,LINC02312,RPL24,HLA-B,CD244,HLA-DOA,CALM2,LAMTOR1,LIMD2,FAM81B,RPL39,MRPL36
153,BEX2,LRRK2,AL357874.1,TNFAIP8,ADGRG1,LPCAT1,SAV1,EIF4G2,EIF3E,THEMIS2,AC093620.1,PLCB2,GGA2
154,TSHZ2,NAGK,AC007292.2,NPM1,GPR171,ARHGEF3,MARCKSL1,VASP,RPS28,COX8A,NXF1,HNRNPDL,TMED2
155,RETREG1,RAB31,ZBTB20-AS2,CD27,TRDC,MXRA7,BACH2,PTP4A2,FKBP1A,MAPKAPK3,ZBTB34,PFN1,MPEG1
156,CXCR4,LYST,AL031432.5,CD5,FBXW5,BTN3A2,SNX3,SLC7A7,ZFP36,RHOG,CORO1C,BST2,DDX18
157,ITGA6,PTAFR,TRPM3,BTG1,CAMK2N1,GK5,DCK,CSF3R,RPL34,CDKN1C,NRGN,RPL35A,PDIA6
158,MGAT4A,KCNE3,SV2A,RPL27,HMOX2,MLC1,RPS8,CD83,ATP5PO,RNH1,RGS6,NACA,OPN3
159,FAU,DUSP6,WNT10B,C12orf57,MXRA7,CD38,CD52,LY86,LY86,NAGK,NYNRIN,RPL13,SFT2D2
160,SUSD3,GLRX,CPEB1,SOD1,NFATC2,PLA2G16,CHCHD10,LGALS3,RPS26,ZEB2,SULT1C4,TGOLN2,ACTR2
161,SOCS3,SH3BGRL,AL021707.7,RPL35A,DENND2D,CD47,ARL4A,PILRA,ATP5MC3,EFHD2,TRH,CLEC7A,HLA-DPA1
162,THEM4,HCK,AC020917.3,CD96,SLFN5,SH3BP5,PCDH9,EVI2B,TPM3,GRK2,KIAA1549,NDUFAB1,SEL1L3
163,APBA2,PPT1,AC018809.2,GALM,SUN2,OSBPL5,E2F5,PSMA7,RPL14,LGALS9,NEURL1B,ZFP36,SEC11C
164,PDE7A,MGST1,PLCG1,BCL2,CCND3,IKZF3,CDK14,JUND,SRSF3,MT-ND2,PCSK6,CELF2,SAMHD1
165,ANXA2R,ELOB,LHX4,GPR171,BATF,UBB,NT5E,LRRC25,UBC,ADGRE2,LTBP1,RPL8,MDFIC
166,PDE3B,NFAM1,SLC10A1,FXYD5,IL2RB,CXXC5,EEF1B2,ANXA2,LST1,UNC93B1,RHEX,HCLS1,RPS23
167,GIMAP7,EHBP1L1,RNASEH2A,ARID5B,EVL,PPP2R5C,GUCD1,LGALS9,RNASET2,LGALS1,ATL1,EIF4G2,MTDH
168,C20orf204,ACTR2,FREM3,SLFN5,PPP2R2B,ATM,SNX29,ANXA5,RPL21,ACTR3,CASKIN2,EVI2A,GAS6
169,UBA52,LILRA2,PLA2G4E-AS1,CCDC107,DNAJC1,OSTF1,RPL12,ARRB2,PRELID1,SEPT9,PRKG1,COX4I1,JUND
170,EVL,ALDH2,DNASE1L2,CD82,S1PR1,CCDC88C,CD81,PLCB2,TMBIM6,COX6B1,PIK3R6,CD44,HLA-DMA
171,UQCRB,SERF2,EXTL3-AS1,MZT2B,PARP8,CCDC107,TIFA,ATP6V0D1,SRP14,LAPTM5,AC020916.1,COX6B1,PCM1
172,BCL2,GRINA,SDK1,THEM4,TPST2,YWHAQ,MTSS1,CNPY3,PGLS,GNB2,PRKAR2B,H2AFY,SSR3
173,PSIP1,TPP1,AL136979.1,RPS10,HLA-E,APOBEC3C,PLEKHG1,SAT1,COX6B1,SCIMP,CRAMP1,LGALS9,RUNX2
174,TSTD1,NPC2,ZNF114,CD69,KIF2A,MIB2,TCF3,IER3,PTMA,LYL1,AC007569.1,MIDN,CHCHD2
175,PRDX2,FBXL5,GRIK5,HSPA8,CCDC85B,CD226,EAF2,LGALS2,COX5A,SUMO2,HIVEP3,RPL41,NDUFA4
176,CLEC2D,H2AFY,SORBS1,NCK2,BTG2,GTF3C1,NCOA3,TMBIM6,PCBP1,PLXNB2,ANGPT1,SERF2,DDX17
177,RASGRP1,PICALM,AC007533.1,CCDC167,KIF21A,YPEL1,LY9,DPYSL2,HNRNPA1,SEC11A,MED12L,ANXA2,SELENOH
178,ITM2A,ITM2B,LRRTM2,ITK,LY9,HMOX2,EIF1AY,RNASET2,S100A6,NACA,ARHGEF40,PFDN5,NGLY1
